trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,
10011,6:00:00,6:00:00,102,1,,
10011,6:03:00,6:03:00,103,2,,
10011,6:05:00,6:05:00,105,3,,
10011,6:08:00,6:08:00,106,4,,
10012,7:00:00,7:00:00,102,1,,
10012,7:03:00,7:03:00,103,2,,
10012,7:05:00,7:05:00,105,3,,
10012,7:08:00,7:08:00,106,4,,
10013,8:00:00,8:00:00,102,1,,
10013,8:03:00,8:03:00,103,2,,
10013,8:05:00,8:05:00,105,3,,
10013,8:08:00,8:08:00,106,4,,
10014,9:00:00,9:00:00,102,1,,
10014,9:03:00,9:03:00,103,2,,
10014,9:05:00,9:05:00,105,3,,
10014,9:08:00,9:08:00,106,4,,
10015,10:00:00,10:00:00,102,1,,
10015,10:03:00,10:03:00,103,2,,
10015,10:05:00,10:05:00,105,3,,
10015,10:08:00,10:08:00,106,4,,
10016,11:00:00,11:00:00,102,1,,
10016,11:03:00,11:03:00,103,2,,
10016,11:05:00,11:05:00,105,3,,
10016,11:08:00,11:08:00,106,4,,
10021,6:00:00,6:00:00,106,1,,
10021,6:03:00,6:03:00,104,2,,
10021,6:05:00,6:05:00,107,3,,
10021,6:08:00,6:08:00,101,4,,
10022,7:00:00,7:00:00,106,1,,
10022,7:03:00,7:03:00,104,2,,
10022,7:05:00,7:05:00,107,3,,
10022,7:08:00,7:08:00,101,4,,
10023,8:00:00,8:00:00,106,1,,
10023,8:03:00,8:03:00,104,2,,
10023,8:05:00,8:05:00,107,3,,
10023,8:08:00,8:08:00,101,4,,
10024,9:00:00,9:00:00,106,1,,
10024,9:03:00,9:03:00,104,2,,
10024,9:05:00,9:05:00,107,3,,
10024,9:08:00,9:08:00,101,4,,
10025,10:00:00,10:00:00,106,1,,
10025,10:03:00,10:03:00,104,2,,
10025,10:05:00,10:05:00,107,3,,
10025,10:08:00,10:08:00,101,4,,
10026,11:00:00,11:00:00,106,1,,
10026,11:03:00,11:03:00,104,2,,
10026,11:05:00,11:05:00,107,3,,
10026,11:08:00,11:08:00,101,4,,
10027,11:00:00,11:00:00,106,1,,
10027,11:03:00,11:03:00,104,2,,
10027,11:05:00,11:05:00,107,3,,
10027,11:08:00,11:08:00,101,4,,
10031,8:00:00,6:00:00,108,1,,
10031,8:03:00,8:03:00,107,2,,
10032,14:00:00,14:00:00,108,1,,
10032,14:03:00,14:03:00,107,2,,
10033,16:00:00,16:00:00,108,1,,
10033,16:03:00,16:03:00,107,2,,
