id,wkt,name,dir
1,"LINESTRING(-97.7455759 30.2806753,-97.7452111 30.2815462)",Rio Grande St.,NB
2,"LINESTRING(-97.7452111 30.2815462,-97.7455759 30.2806753)",Rio Grande St.,SB
3,"LINESTRING(-97.7455759 30.2806753,-97.7444386 30.2803603)",17th St.,EB
4,"LINESTRING(-97.7444386 30.2803603,-97.7455759 30.2806753)",17th St.,WB
5,"LINESTRING(-97.7444386 30.2803603,-97.7440953 30.2811941)",Nueces St.,NB
6,"LINESTRING(-97.7440953 30.2811941,-97.7444386 30.2803603)",Nueces St.,SB
7,"LINESTRING(-97.7452111 30.2815462,-97.7440953 30.2811941)",18th St.,EB
8,"LINESTRING(-97.7440953 30.2811941,-97.7452111 30.2815462)",18th St.,WB
9,"LINESTRING(-97.7440953 30.2811941,-97.7430439 30.2808977)",18th St.,EB
10,"LINESTRING(-97.7430439 30.2808977,-97.7440953 30.2811941)",18th St.,WB
11,"LINESTRING(-97.7430439 30.2808977,-97.7433872 30.2800453)",San Antonio St.,SB
12,"LINESTRING(-97.7433872 30.2800453,-97.7430439 30.2808977)",San Antonio St.,NB
21,"LINESTRING(-97.7444386 30.2803603,-97.7433872 30.2800453)",17th St.,EB
22,"LINESTRING(-97.7433872 30.2800453,-97.7444386 30.2803603)",17th St.,WB
23,"LINESTRING(-97.7419925 30.2805826,-97.7423143 30.2797488)",Guadalupe St.,SB
24,"LINESTRING(-97.7411985 30.2793967,-97.7408767 30.2802862)",Lavaca St.,NB
25,"LINESTRING(-97.7408767 30.2802862,-97.740469 30.2812868)",Lavaca St.,NB
26,"LINESTRING(-97.7419281 30.28175,-97.7419925 30.2805826)",Guadalupe St.,SB
27,"LINESTRING(-97.7452111 30.2815462,-97.7448 30.2825)",Rio Grande St.,NB
28,"LINESTRING(-97.7448 30.2825,-97.7452111 30.2815462)",Rio Grande St.,SB
29,"LINESTRING(-97.7448 30.2825,-97.7438 30.2823)",Martin Luther King Jr. Blvd.,EB
30,"LINESTRING(-97.7438 30.2823,-97.7448 30.2825)",Martin Luther King Jr. Blvd.,WB
31,"LINESTRING(-97.7438 30.2823,-97.7426577 30.2819539)",Martin Luther King Jr. Blvd.,EB
32,"LINESTRING(-97.7426577 30.2819539,-97.7438 30.2823)",Martin Luther King Jr. Blvd.,WB
33,"LINESTRING(-97.7426577 30.2819539,-97.7430439 30.2808977)",San Antonio St.,SB
34,"LINESTRING(-97.7430439 30.2808977,-97.7426577 30.2819539)",San Antonio St.,NB
35,"LINESTRING(-97.7438 30.2823,-97.7440953 30.2811941)",Nueces St.,SB
36,"LINESTRING(-97.7440953 30.2811941,-97.7438 30.2823)",Nueces St.,NB
37,"LINESTRING(-97.7426577 30.2819539,-97.7419281 30.28175)",Martin Luther King Jr. Blvd.,EB
38,"LINESTRING(-97.7419281 30.28175,-97.7426577 30.2819539)",Martin Luther King Jr. Blvd.,WB
39,"LINESTRING(-97.7419281 30.28175,-97.740469 30.2812868)",Martin Luther King Jr. Blvd.,EB
40,"LINESTRING(-97.740469 30.2812868,-97.7419281 30.28175)",Martin Luther King Jr. Blvd.,WB
41,"LINESTRING(-97.7430439 30.2808977,-97.7419925 30.2805826)",18th St.,EB
42,"LINESTRING(-97.7419925 30.2805826,-97.7408767 30.2802862)",18th St.,EB
43,"LINESTRING(-97.7411985 30.2793967,-97.7423143 30.2797488)",17th St.,WB
44,"LINESTRING(-97.7423143 30.2797488,-97.7433872 30.2800453)",17th St.,WB
