id,lon,lat,name
1,-97.7437660,30.2822572,Martin Luther King Jr. Blvd. and Nueces St.
2,-97.7450400,30.2826056,Martin Luther King Jr. Blvd. and Rio Grand St.
3,-97.7426577,30.2819539,Martin Luther King Jr. Blvd. and San Antonio St.
4,-97.7419281,30.28175,Martin Luther King Jr. Blvd. and Guadalupe St.
5,-97.7452111,30.2815462,18th St. and Rio Grande St.
6,-97.7440953,30.2811941,18th St. and Nueces St.
7,-97.7430439,30.2808977,18th St. and San Antonio St.
8,-97.7419925,30.2805826,18th St. and Guadalupe St.
9,-97.7455759,30.2806753,17th St. and Rio Grande St.
10,-97.7444386,30.2803603,17th St. and Nueces St.
11,-97.7433872,30.2800453,17th St. and San Antonio St.
12,-97.7423143,30.2797488,17th St. and Guadalupe St.
13,-97.7405756,30.2813336,Martin Luther King Jr. Blvd. and Lavaca St.
14,-97.7408767,30.2802862,18th St. and Lavaca St.
15,-97.7411985,30.2793967,17th St. and Lavaca St.
